openmp,CASE,Function,Counts,Total_Time,Time_per_count
SIMD,CASE1,GRID_C_R,9,4.357900000e-02,4.842111111e-03
SIMD,CASE1,FILL_FUNC,2,2.142533000e+00,1.071266500e+00
SIMD,CASE1,RAND,2,7.233440000e-01,3.616720000e-01
SIMD,CASE1,AXPBY,71,4.248468000e+00,5.983757746e-02
SIMD,CASE1,DOT_PRODUCT,52,2.320598000e+00,4.462688462e-02
SIMD,CASE1,APPLY_STENCIL,26,1.476255000e+00,5.677903846e-02
SIMD,CASE1,GRID,2,7.399000000e-03,3.699500000e-03
SIMD,CASE1,CG,1,6.290850000e+00,6.290850000e+00
SIMD,CASE1,GS_PRE_CON,2,7.556330000e-01,3.778165000e-01
SIMD,CASE1,PCG,1,8.232280000e-01,8.232280000e-01
SIMD,CASE2,GRID_C_R,9,4.086500000e-02,4.540555556e-03
SIMD,CASE2,FILL_FUNC,2,2.142050000e+00,1.071025000e+00
SIMD,CASE2,RAND,2,7.216870000e-01,3.608435000e-01
SIMD,CASE2,AXPBY,71,4.319352000e+00,6.083594366e-02
SIMD,CASE2,DOT_PRODUCT,52,2.410232000e+00,4.635061538e-02
SIMD,CASE2,APPLY_STENCIL,26,1.509105000e+00,5.804250000e-02
SIMD,CASE2,GRID,2,8.471000000e-03,4.235500000e-03
SIMD,CASE2,CG,1,6.532145000e+00,6.532145000e+00
SIMD,CASE2,GS_PRE_CON,2,7.470470000e-01,3.735235000e-01
SIMD,CASE2,PCG,1,8.120670000e-01,8.120670000e-01
SIMD,CASE3,GRID_C_R,9,3.798300000e-02,4.220333333e-03
SIMD,CASE3,FILL_FUNC,2,2.155796000e+00,1.077898000e+00
SIMD,CASE3,RAND,2,7.205810000e-01,3.602905000e-01
SIMD,CASE3,AXPBY,71,4.326100000e+00,6.093098592e-02
SIMD,CASE3,DOT_PRODUCT,52,2.309783000e+00,4.441890385e-02
SIMD,CASE3,APPLY_STENCIL,26,1.427458000e+00,5.490223077e-02
SIMD,CASE3,GRID,2,7.718000000e-03,3.859000000e-03
SIMD,CASE3,CG,1,6.342143000e+00,6.342143000e+00
SIMD,CASE3,GS_PRE_CON,2,7.370510000e-01,3.685255000e-01
SIMD,CASE3,PCG,1,8.141950000e-01,8.141950000e-01
SIMD,CASE4,GRID_C_R,9,8.726700000e-02,9.696333333e-03
SIMD,CASE4,FILL_FUNC,2,6.665909000e+00,3.332954500e+00
SIMD,CASE4,RAND,2,2.191606000e+00,1.095803000e+00
SIMD,CASE4,AXPBY,71,1.291179700e+01,1.818562958e-01
SIMD,CASE4,DOT_PRODUCT,52,6.502586000e+00,1.250497308e-01
SIMD,CASE4,APPLY_STENCIL,26,4.145294000e+00,1.594343846e-01
SIMD,CASE4,GRID,2,1.814500000e-02,9.072500000e-03
SIMD,CASE4,CG,1,1.875545100e+01,1.875545100e+01
SIMD,CASE4,GS_PRE_CON,2,2.301102000e+00,1.150551000e+00
SIMD,CASE4,PCG,1,2.387810000e+00,2.387810000e+00
DYNAMIC,CASE1,GRID_C_R,9,1.773700000e-01,1.970777778e-02
DYNAMIC,CASE1,FILL_FUNC,2,3.110200000e-02,1.555100000e-02
DYNAMIC,CASE1,RAND,2,6.206050000e-01,3.103025000e-01
DYNAMIC,CASE1,AXPBY,71,3.397770000e-01,4.785591549e-03
DYNAMIC,CASE1,DOT_PRODUCT,52,2.429563000e+00,4.672236538e-02
DYNAMIC,CASE1,APPLY_STENCIL,26,1.501854000e+00,5.776361538e-02
DYNAMIC,CASE1,GRID,2,3.666600000e-02,1.833300000e-02
DYNAMIC,CASE1,CG,1,3.320515000e+00,3.320515000e+00
DYNAMIC,CASE1,GS_PRE_CON,2,7.559060000e-01,3.779530000e-01
DYNAMIC,CASE1,PCG,1,6.413980000e-01,6.413980000e-01
DYNAMIC,CASE2,GRID_C_R,9,1.749930000e-01,1.944366667e-02
DYNAMIC,CASE2,FILL_FUNC,2,3.698900000e-02,1.849450000e-02
DYNAMIC,CASE2,RAND,2,6.324490000e-01,3.162245000e-01
DYNAMIC,CASE2,AXPBY,71,3.117660000e-01,4.391070423e-03
DYNAMIC,CASE2,DOT_PRODUCT,52,2.594127000e+00,4.988705769e-02
DYNAMIC,CASE2,APPLY_STENCIL,26,1.464764000e+00,5.633707692e-02
DYNAMIC,CASE2,GRID,2,3.655600000e-02,1.827800000e-02
DYNAMIC,CASE2,CG,1,3.415531000e+00,3.415531000e+00
DYNAMIC,CASE2,GS_PRE_CON,2,7.476720000e-01,3.738360000e-01
DYNAMIC,CASE2,PCG,1,6.439140000e-01,6.439140000e-01
DYNAMIC,CASE3,GRID_C_R,9,1.734000000e-01,1.926666667e-02
DYNAMIC,CASE3,FILL_FUNC,2,3.048700000e-02,1.524350000e-02
DYNAMIC,CASE3,RAND,2,6.344630000e-01,3.172315000e-01
DYNAMIC,CASE3,AXPBY,71,3.014550000e-01,4.245845070e-03
DYNAMIC,CASE3,DOT_PRODUCT,52,2.489151000e+00,4.786828846e-02
DYNAMIC,CASE3,APPLY_STENCIL,26,1.478898000e+00,5.688069231e-02
DYNAMIC,CASE3,GRID,2,3.664900000e-02,1.832450000e-02
DYNAMIC,CASE3,CG,1,3.314051000e+00,3.314051000e+00
DYNAMIC,CASE3,GS_PRE_CON,2,7.376230000e-01,3.688115000e-01
DYNAMIC,CASE3,PCG,1,6.342090000e-01,6.342090000e-01
DYNAMIC,CASE4,GRID_C_R,9,5.042680000e-01,5.602977778e-02
DYNAMIC,CASE4,FILL_FUNC,2,9.075500000e-02,4.537750000e-02
DYNAMIC,CASE4,RAND,2,1.861745000e+00,9.308725000e-01
DYNAMIC,CASE4,AXPBY,71,1.047441000e+00,1.475269014e-02
DYNAMIC,CASE4,DOT_PRODUCT,52,7.054504000e+00,1.356635385e-01
DYNAMIC,CASE4,APPLY_STENCIL,26,4.429774000e+00,1.703759231e-01
DYNAMIC,CASE4,GRID,2,1.078790000e-01,5.393950000e-02
DYNAMIC,CASE4,CG,1,9.722638000e+00,9.722638000e+00
